"Month","Animal","State","Count"
1980 12,"Bulls, bullocks and steers","Australian Capital Territory",1300
1981 1,"Bulls, bullocks and steers","Australian Capital Territory",1700
1981 2,"Bulls, bullocks and steers","Australian Capital Territory",2200
1981 3,"Bulls, bullocks and steers","Australian Capital Territory",1700
1981 4,"Bulls, bullocks and steers","Australian Capital Territory",2300
1981 5,"Bulls, bullocks and steers","Australian Capital Territory",1900
1981 6,"Bulls, bullocks and steers","Australian Capital Territory",1800
1981 7,"Bulls, bullocks and steers","Australian Capital Territory",1800
1981 8,"Bulls, bullocks and steers","Australian Capital Territory",2100
1981 9,"Bulls, bullocks and steers","Australian Capital Territory",2800
1981 10,"Bulls, bullocks and steers","Australian Capital Territory",3400
1981 11,"Bulls, bullocks and steers","Australian Capital Territory",1600
1981 12,"Bulls, bullocks and steers","Australian Capital Territory",1700
1982 1,"Bulls, bullocks and steers","Australian Capital Territory",2900
1982 2,"Bulls, bullocks and steers","Australian Capital Territory",2900
1982 3,"Bulls, bullocks and steers","Australian Capital Territory",2700
1982 4,"Bulls, bullocks and steers","Australian Capital Territory",1800
1982 5,"Bulls, bullocks and steers","Australian Capital Territory",2100
1982 6,"Bulls, bullocks and steers","Australian Capital Territory",2400
1982 7,"Bulls, bullocks and steers","Australian Capital Territory",2400
1982 8,"Bulls, bullocks and steers","Australian Capital Territory",700
1982 9,"Bulls, bullocks and steers","Australian Capital Territory",0
1982 10,"Bulls, bullocks and steers","Australian Capital Territory",0
1982 11,"Bulls, bullocks and steers","Australian Capital Territory",900
1982 12,"Bulls, bullocks and steers","Australian Capital Territory",500
1983 1,"Bulls, bullocks and steers","Australian Capital Territory",1400
1983 2,"Bulls, bullocks and steers","Australian Capital Territory",1400
1983 3,"Bulls, bullocks and steers","Australian Capital Territory",1200
1983 4,"Bulls, bullocks and steers","Australian Capital Territory",1100
1983 5,"Bulls, bullocks and steers","Australian Capital Territory",900
1983 6,"Bulls, bullocks and steers","Australian Capital Territory",1100
1983 7,"Bulls, bullocks and steers","Australian Capital Territory",1000
1983 8,"Bulls, bullocks and steers","Australian Capital Territory",1300
1983 9,"Bulls, bullocks and steers","Australian Capital Territory",1400
1983 10,"Bulls, bullocks and steers","Australian Capital Territory",1300
1983 11,"Bulls, bullocks and steers","Australian Capital Territory",1800
1983 12,"Bulls, bullocks and steers","Australian Capital Territory",1500
1984 1,"Bulls, bullocks and steers","Australian Capital Territory",1800
1984 2,"Bulls, bullocks and steers","Australian Capital Territory",2000
1984 3,"Bulls, bullocks and steers","Australian Capital Territory",2100
1984 4,"Bulls, bullocks and steers","Australian Capital Territory",1600
1984 5,"Bulls, bullocks and steers","Australian Capital Territory",2300
1984 6,"Bulls, bullocks and steers","Australian Capital Territory",2000
1984 7,"Bulls, bullocks and steers","Australian Capital Territory",1900
1984 8,"Bulls, bullocks and steers","Australian Capital Territory",2200
1984 9,"Bulls, bullocks and steers","Australian Capital Territory",1500
1984 10,"Bulls, bullocks and steers","Australian Capital Territory",1900
1984 11,"Bulls, bullocks and steers","Australian Capital Territory",2000
1984 12,"Bulls, bullocks and steers","Australian Capital Territory",1300
1985 1,"Bulls, bullocks and steers","Australian Capital Territory",1800
1985 2,"Bulls, bullocks and steers","Australian Capital Territory",1400
1985 3,"Bulls, bullocks and steers","Australian Capital Territory",1600
1985 4,"Bulls, bullocks and steers","Australian Capital Territory",1400
1985 5,"Bulls, bullocks and steers","Australian Capital Territory",1300
1985 6,"Bulls, bullocks and steers","Australian Capital Territory",1100
1985 7,"Bulls, bullocks and steers","Australian Capital Territory",1300
1985 8,"Bulls, bullocks and steers","Australian Capital Territory",1200
1985 9,"Bulls, bullocks and steers","Australian Capital Territory",1400
1985 10,"Bulls, bullocks and steers","Australian Capital Territory",2000
1985 11,"Bulls, bullocks and steers","Australian Capital Territory",1700
1985 12,"Bulls, bullocks and steers","Australian Capital Territory",1800
1986 1,"Bulls, bullocks and steers","Australian Capital Territory",2000
1986 2,"Bulls, bullocks and steers","Australian Capital Territory",1800
1986 3,"Bulls, bullocks and steers","Australian Capital Territory",1800
1986 4,"Bulls, bullocks and steers","Australian Capital Territory",2300
1986 5,"Bulls, bullocks and steers","Australian Capital Territory",1800
1986 6,"Bulls, bullocks and steers","Australian Capital Territory",2200
1986 7,"Bulls, bullocks and steers","Australian Capital Territory",2300
1986 8,"Bulls, bullocks and steers","Australian Capital Territory",1600
1986 9,"Bulls, bullocks and steers","Australian Capital Territory",2000
1986 10,"Bulls, bullocks and steers","Australian Capital Territory",1600
1986 11,"Bulls, bullocks and steers","Australian Capital Territory",1500
1986 12,"Bulls, bullocks and steers","Australian Capital Territory",2200
1987 1,"Bulls, bullocks and steers","Australian Capital Territory",1800
1987 2,"Bulls, bullocks and steers","Australian Capital Territory",1800
1987 3,"Bulls, bullocks and steers","Australian Capital Territory",1700
1987 4,"Bulls, bullocks and steers","Australian Capital Territory",2200
1987 5,"Bulls, bullocks and steers","Australian Capital Territory",1900
1987 6,"Bulls, bullocks and steers","Australian Capital Territory",1900
1987 7,"Bulls, bullocks and steers","Australian Capital Territory",2300
1987 8,"Bulls, bullocks and steers","Australian Capital Territory",1400
1987 9,"Bulls, bullocks and steers","Australian Capital Territory",2000
1987 10,"Bulls, bullocks and steers","Australian Capital Territory",1900
1987 11,"Bulls, bullocks and steers","Australian Capital Territory",2300
1987 12,"Bulls, bullocks and steers","Australian Capital Territory",2300
1988 1,"Bulls, bullocks and steers","Australian Capital Territory",1800
1988 2,"Bulls, bullocks and steers","Australian Capital Territory",2300
1988 3,"Bulls, bullocks and steers","Australian Capital Territory",2600
1988 4,"Bulls, bullocks and steers","Australian Capital Territory",1900
1988 5,"Bulls, bullocks and steers","Australian Capital Territory",1800
1988 6,"Bulls, bullocks and steers","Australian Capital Territory",2200
1988 7,"Bulls, bullocks and steers","Australian Capital Territory",2300
1988 8,"Bulls, bullocks and steers","Australian Capital Territory",3100
1988 9,"Bulls, bullocks and steers","Australian Capital Territory",2400
1988 10,"Bulls, bullocks and steers","Australian Capital Territory",2300
1988 11,"Bulls, bullocks and steers","Australian Capital Territory",3100
1988 12,"Bulls, bullocks and steers","Australian Capital Territory",2300
1989 1,"Bulls, bullocks and steers","Australian Capital Territory",2300
1989 2,"Bulls, bullocks and steers","Australian Capital Territory",2700
1989 3,"Bulls, bullocks and steers","Australian Capital Territory",3400
1989 4,"Bulls, bullocks and steers","Australian Capital Territory",2700
1989 5,"Bulls, bullocks and steers","Australian Capital Territory",3200
1989 6,"Bulls, bullocks and steers","Australian Capital Territory",2500
1989 7,"Bulls, bullocks and steers","Australian Capital Territory",2200
1989 8,"Bulls, bullocks and steers","Australian Capital Territory",2800
1989 9,"Bulls, bullocks and steers","Australian Capital Territory",2500
1989 10,"Bulls, bullocks and steers","Australian Capital Territory",2700
1989 11,"Bulls, bullocks and steers","Australian Capital Territory",4100
1989 12,"Bulls, bullocks and steers","Australian Capital Territory",2900
1990 1,"Bulls, bullocks and steers","Australian Capital Territory",3700
1990 2,"Bulls, bullocks and steers","Australian Capital Territory",2800
1990 3,"Bulls, bullocks and steers","Australian Capital Territory",3100
1990 4,"Bulls, bullocks and steers","Australian Capital Territory",2300
1990 5,"Bulls, bullocks and steers","Australian Capital Territory",3000
1990 6,"Bulls, bullocks and steers","Australian Capital Territory",2500
1990 7,"Bulls, bullocks and steers","Australian Capital Territory",2900
1990 8,"Bulls, bullocks and steers","Australian Capital Territory",2800
1990 9,"Bulls, bullocks and steers","Australian Capital Territory",2500
1990 10,"Bulls, bullocks and steers","Australian Capital Territory",2900
1990 11,"Bulls, bullocks and steers","Australian Capital Territory",3000
1990 12,"Bulls, bullocks and steers","Australian Capital Territory",2700
1991 1,"Bulls, bullocks and steers","Australian Capital Territory",2200
1991 2,"Bulls, bullocks and steers","Australian Capital Territory",2600
1991 3,"Bulls, bullocks and steers","Australian Capital Territory",2200
1991 4,"Bulls, bullocks and steers","Australian Capital Territory",2600
1991 5,"Bulls, bullocks and steers","Australian Capital Territory",3600
1991 6,"Bulls, bullocks and steers","Australian Capital Territory",2500
1991 7,"Bulls, bullocks and steers","Australian Capital Territory",0
1991 8,"Bulls, bullocks and steers","Australian Capital Territory",0
1991 9,"Bulls, bullocks and steers","Australian Capital Territory",2500
1991 10,"Bulls, bullocks and steers","Australian Capital Territory",3000
1991 11,"Bulls, bullocks and steers","Australian Capital Territory",2400
1991 12,"Bulls, bullocks and steers","Australian Capital Territory",2300
1992 1,"Bulls, bullocks and steers","Australian Capital Territory",3100
1992 2,"Bulls, bullocks and steers","Australian Capital Territory",2500
1992 3,"Bulls, bullocks and steers","Australian Capital Territory",2400
1992 4,"Bulls, bullocks and steers","Australian Capital Territory",3000
1992 5,"Bulls, bullocks and steers","Australian Capital Territory",2800
1992 6,"Bulls, bullocks and steers","Australian Capital Territory",2500
1992 7,"Bulls, bullocks and steers","Australian Capital Territory",3000
1992 8,"Bulls, bullocks and steers","Australian Capital Territory",2200
1992 9,"Bulls, bullocks and steers","Australian Capital Territory",2600
1992 10,"Bulls, bullocks and steers","Australian Capital Territory",2000
1992 11,"Bulls, bullocks and steers","Australian Capital Territory",0
1992 12,"Bulls, bullocks and steers","Australian Capital Territory",2500
1993 1,"Bulls, bullocks and steers","Australian Capital Territory",2300
1993 2,"Bulls, bullocks and steers","Australian Capital Territory",2700
1993 3,"Bulls, bullocks and steers","Australian Capital Territory",3400
1993 4,"Bulls, bullocks and steers","Australian Capital Territory",2700
1993 5,"Bulls, bullocks and steers","Australian Capital Territory",3300
1993 6,"Bulls, bullocks and steers","Australian Capital Territory",4000
1993 7,"Bulls, bullocks and steers","Australian Capital Territory",3100
1993 8,"Bulls, bullocks and steers","Australian Capital Territory",0
1993 9,"Bulls, bullocks and steers","Australian Capital Territory",0
1993 10,"Bulls, bullocks and steers","Australian Capital Territory",0
1993 11,"Bulls, bullocks and steers","Australian Capital Territory",0
1993 12,"Bulls, bullocks and steers","Australian Capital Territory",0
1994 1,"Bulls, bullocks and steers","Australian Capital Territory",0
1994 2,"Bulls, bullocks and steers","Australian Capital Territory",0
1994 3,"Bulls, bullocks and steers","Australian Capital Territory",0
1994 4,"Bulls, bullocks and steers","Australian Capital Territory",0
1994 5,"Bulls, bullocks and steers","Australian Capital Territory",0
1994 6,"Bulls, bullocks and steers","Australian Capital Territory",0
1994 7,"Bulls, bullocks and steers","Australian Capital Territory",0
1994 8,"Bulls, bullocks and steers","Australian Capital Territory",0
1994 9,"Bulls, bullocks and steers","Australian Capital Territory",0
1994 10,"Bulls, bullocks and steers","Australian Capital Territory",0
1994 11,"Bulls, bullocks and steers","Australian Capital Territory",0
1994 12,"Bulls, bullocks and steers","Australian Capital Territory",0
1995 1,"Bulls, bullocks and steers","Australian Capital Territory",0
1995 2,"Bulls, bullocks and steers","Australian Capital Territory",0
1995 3,"Bulls, bullocks and steers","Australian Capital Territory",0
1995 4,"Bulls, bullocks and steers","Australian Capital Territory",0
1995 5,"Bulls, bullocks and steers","Australian Capital Territory",0
1995 6,"Bulls, bullocks and steers","Australian Capital Territory",0
1995 7,"Bulls, bullocks and steers","Australian Capital Territory",0
1995 8,"Bulls, bullocks and steers","Australian Capital Territory",0
1995 9,"Bulls, bullocks and steers","Australian Capital Territory",0
1995 10,"Bulls, bullocks and steers","Australian Capital Territory",0
1995 11,"Bulls, bullocks and steers","Australian Capital Territory",0
1995 12,"Bulls, bullocks and steers","Australian Capital Territory",0
1996 1,"Bulls, bullocks and steers","Australian Capital Territory",0
1996 2,"Bulls, bullocks and steers","Australian Capital Territory",0
1996 3,"Bulls, bullocks and steers","Australian Capital Territory",0
1996 4,"Bulls, bullocks and steers","Australian Capital Territory",0
1996 5,"Bulls, bullocks and steers","Australian Capital Territory",0
1996 6,"Bulls, bullocks and steers","Australian Capital Territory",0
1996 7,"Bulls, bullocks and steers","Australian Capital Territory",0
1996 8,"Bulls, bullocks and steers","Australian Capital Territory",0
1996 9,"Bulls, bullocks and steers","Australian Capital Territory",0
1996 10,"Bulls, bullocks and steers","Australian Capital Territory",0
1996 11,"Bulls, bullocks and steers","Australian Capital Territory",0
1996 12,"Bulls, bullocks and steers","Australian Capital Territory",0
1997 1,"Bulls, bullocks and steers","Australian Capital Territory",0
1997 2,"Bulls, bullocks and steers","Australian Capital Territory",0
1997 3,"Bulls, bullocks and steers","Australian Capital Territory",0
1997 4,"Bulls, bullocks and steers","Australian Capital Territory",0
1997 5,"Bulls, bullocks and steers","Australian Capital Territory",0
1997 6,"Bulls, bullocks and steers","Australian Capital Territory",0
1997 7,"Bulls, bullocks and steers","Australian Capital Territory",0
1997 8,"Bulls, bullocks and steers","Australian Capital Territory",0
1997 9,"Bulls, bullocks and steers","Australian Capital Territory",0
1997 10,"Bulls, bullocks and steers","Australian Capital Territory",0
1997 11,"Bulls, bullocks and steers","Australian Capital Territory",0
1997 12,"Bulls, bullocks and steers","Australian Capital Territory",0
1998 1,"Bulls, bullocks and steers","Australian Capital Territory",0
1998 2,"Bulls, bullocks and steers","Australian Capital Territory",0
1998 3,"Bulls, bullocks and steers","Australian Capital Territory",0
1998 4,"Bulls, bullocks and steers","Australian Capital Territory",0
1998 5,"Bulls, bullocks and steers","Australian Capital Territory",0
1998 6,"Bulls, bullocks and steers","Australian Capital Territory",0
1998 7,"Bulls, bullocks and steers","Australian Capital Territory",0
1998 8,"Bulls, bullocks and steers","Australian Capital Territory",0
1998 9,"Bulls, bullocks and steers","Australian Capital Territory",0
1998 10,"Bulls, bullocks and steers","Australian Capital Territory",0
1998 11,"Bulls, bullocks and steers","Australian Capital Territory",0
1998 12,"Bulls, bullocks and steers","Australian Capital Territory",0
1999 1,"Bulls, bullocks and steers","Australian Capital Territory",0
1999 2,"Bulls, bullocks and steers","Australian Capital Territory",0
1999 3,"Bulls, bullocks and steers","Australian Capital Territory",0
1999 4,"Bulls, bullocks and steers","Australian Capital Territory",0
1999 5,"Bulls, bullocks and steers","Australian Capital Territory",0
1999 6,"Bulls, bullocks and steers","Australian Capital Territory",0
1999 7,"Bulls, bullocks and steers","Australian Capital Territory",0
1999 8,"Bulls, bullocks and steers","Australian Capital Territory",0
1999 9,"Bulls, bullocks and steers","Australian Capital Territory",0
1999 10,"Bulls, bullocks and steers","Australian Capital Territory",0
1999 11,"Bulls, bullocks and steers","Australian Capital Territory",0
1999 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2000 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2000 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2000 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2000 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2000 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2000 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2000 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2000 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2000 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2000 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2000 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2000 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2001 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2001 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2001 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2001 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2001 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2001 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2001 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2001 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2001 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2001 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2001 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2001 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2002 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2002 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2002 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2002 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2002 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2002 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2002 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2002 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2002 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2002 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2002 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2002 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2003 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2003 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2003 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2003 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2003 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2003 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2003 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2003 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2003 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2003 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2003 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2003 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2004 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2004 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2004 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2004 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2004 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2004 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2004 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2004 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2004 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2004 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2004 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2004 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2005 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2005 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2005 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2005 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2005 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2005 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2005 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2005 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2005 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2005 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2005 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2005 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2006 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2006 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2006 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2006 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2006 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2006 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2006 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2006 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2006 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2006 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2006 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2006 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2007 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2007 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2007 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2007 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2007 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2007 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2007 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2007 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2007 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2007 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2007 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2007 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2008 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2008 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2008 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2008 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2008 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2008 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2008 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2008 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2008 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2008 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2008 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2008 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2009 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2009 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2009 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2009 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2009 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2009 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2009 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2009 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2009 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2009 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2009 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2009 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2010 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2010 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2010 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2010 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2010 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2010 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2010 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2010 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2010 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2010 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2010 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2010 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2011 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2011 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2011 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2011 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2011 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2011 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2011 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2011 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2011 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2011 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2011 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2011 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2012 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2012 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2012 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2012 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2012 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2012 6,"Bulls, bullocks and steers","Australian Capital Territory",0
2012 7,"Bulls, bullocks and steers","Australian Capital Territory",0
2012 8,"Bulls, bullocks and steers","Australian Capital Territory",0
2012 9,"Bulls, bullocks and steers","Australian Capital Territory",0
2012 10,"Bulls, bullocks and steers","Australian Capital Territory",0
2012 11,"Bulls, bullocks and steers","Australian Capital Territory",0
2012 12,"Bulls, bullocks and steers","Australian Capital Territory",0
2013 1,"Bulls, bullocks and steers","Australian Capital Territory",0
2013 2,"Bulls, bullocks and steers","Australian Capital Territory",0
2013 3,"Bulls, bullocks and steers","Australian Capital Territory",0
2013 4,"Bulls, bullocks and steers","Australian Capital Territory",0
2013 5,"Bulls, bullocks and steers","Australian Capital Territory",0
2013 6,"Bulls, bullocks and steers","Australian Capital Territory",0
