"","Quarter","Region","State","Purpose","Trips"
"40",13787,"Adelaide","South Australia","Business",134.5737045
"41",13879,"Adelaide","South Australia","Business",127.1683903
"42",13970,"Adelaide","South Australia","Business",151.9719803
"43",14061,"Adelaide","South Australia","Business",152.2058109
"44",14153,"Adelaide","South Australia","Business",160.6362718
"45",14245,"Adelaide","South Australia","Business",113.8600217
"46",14335,"Adelaide","South Australia","Business",152.7243494
"47",14426,"Adelaide","South Australia","Business",121.9832332
"48",14518,"Adelaide","South Australia","Business",191.1538074
"49",14610,"Adelaide","South Australia","Business",68.7253928
"50",14700,"Adelaide","South Australia","Business",182.18332
"51",14791,"Adelaide","South Australia","Business",120.5336824
"52",14883,"Adelaide","South Australia","Business",155.0707525
"53",14975,"Adelaide","South Australia","Business",109.699807
"54",15065,"Adelaide","South Australia","Business",148.4397274
"55",15156,"Adelaide","South Australia","Business",140.6574624
"56",15248,"Adelaide","South Australia","Business",148.815411
"57",15340,"Adelaide","South Australia","Business",126.8571108
"58",15431,"Adelaide","South Australia","Business",154.920891
"59",15522,"Adelaide","South Australia","Business",150.0191305
"60",15614,"Adelaide","South Australia","Business",178.3637579
"61",15706,"Adelaide","South Australia","Business",101.6471351
"62",15796,"Adelaide","South Australia","Business",100.6409434
"63",15887,"Adelaide","South Australia","Business",179.8741671
"64",15979,"Adelaide","South Australia","Business",142.8077977
"65",16071,"Adelaide","South Australia","Business",138.8302798
"66",16161,"Adelaide","South Australia","Business",154.5054125
"67",16252,"Adelaide","South Australia","Business",185.6021634
"68",16344,"Adelaide","South Australia","Business",168.3471197
"69",16436,"Adelaide","South Australia","Business",142.7914525
"70",16526,"Adelaide","South Australia","Business",167.9152552
"71",16617,"Adelaide","South Australia","Business",176.4594617
"72",16709,"Adelaide","South Australia","Business",186.7256903
"73",16801,"Adelaide","South Australia","Business",182.0982561
"74",16892,"Adelaide","South Australia","Business",187.8089202
"75",16983,"Adelaide","South Australia","Business",195.9832501
"76",17075,"Adelaide","South Australia","Business",152.4288872
"77",17167,"Adelaide","South Australia","Business",129.0288286
"78",17257,"Adelaide","South Australia","Business",173.7363936
"79",17348,"Adelaide","South Australia","Business",185.3025775
"80",17440,"Adelaide","South Australia","Business",197.2800029
"81",10227,"Adelaide","South Australia","Holiday",223.5574059
"82",10317,"Adelaide","South Australia","Holiday",130.287369
"83",10408,"Adelaide","South Australia","Holiday",156.089398
"84",10500,"Adelaide","South Australia","Holiday",182.3289795
"85",10592,"Adelaide","South Australia","Holiday",185.33188
"86",10682,"Adelaide","South Australia","Holiday",134.6696903
"87",10773,"Adelaide","South Australia","Holiday",136.0347311
"88",10865,"Adelaide","South Australia","Holiday",168.6863799
"89",10957,"Adelaide","South Australia","Holiday",184.1202637
"90",11048,"Adelaide","South Australia","Holiday",134.3627013
"91",11139,"Adelaide","South Australia","Holiday",145.3610392
"92",11231,"Adelaide","South Australia","Holiday",150.513124
"93",11323,"Adelaide","South Australia","Holiday",160.2282407
"94",11413,"Adelaide","South Australia","Holiday",133.1343279
"95",11504,"Adelaide","South Australia","Holiday",153.773094
"96",11596,"Adelaide","South Australia","Holiday",181.4068405
"97",11688,"Adelaide","South Australia","Holiday",169.0469312
"98",11778,"Adelaide","South Australia","Holiday",114.2086238
"99",11869,"Adelaide","South Australia","Holiday",130.3304208
"100",11961,"Adelaide","South Australia","Holiday",130.4795052
"101",12053,"Adelaide","South Australia","Holiday",146.7703147
"102",12143,"Adelaide","South Australia","Holiday",126.7641332
"103",12234,"Adelaide","South Australia","Holiday",149.4360349
"104",12326,"Adelaide","South Australia","Holiday",111.0500583
"105",12418,"Adelaide","South Australia","Holiday",186.7720696
"106",12509,"Adelaide","South Australia","Holiday",135.9060186
"107",12600,"Adelaide","South Australia","Holiday",112.9890536
"108",12692,"Adelaide","South Australia","Holiday",158.0570262
"109",12784,"Adelaide","South Australia","Holiday",141.6333769
"110",12874,"Adelaide","South Australia","Holiday",120.1251157
"111",12965,"Adelaide","South Australia","Holiday",160.774783
"112",13057,"Adelaide","South Australia","Holiday",149.0777328
"113",13149,"Adelaide","South Australia","Holiday",191.525738
"114",13239,"Adelaide","South Australia","Holiday",163.649515
"115",13330,"Adelaide","South Australia","Holiday",138.133273
"116",13422,"Adelaide","South Australia","Holiday",164.849392
"117",13514,"Adelaide","South Australia","Holiday",185.5543828
"118",13604,"Adelaide","South Australia","Holiday",180.6817518
"119",13695,"Adelaide","South Australia","Holiday",134.4982174
"120",13787,"Adelaide","South Australia","Holiday",155.604757
"121",13879,"Adelaide","South Australia","Holiday",181.779807
"122",13970,"Adelaide","South Australia","Holiday",147.5425818
"123",14061,"Adelaide","South Australia","Holiday",129.5127253
"124",14153,"Adelaide","South Australia","Holiday",152.0620509
"125",14245,"Adelaide","South Australia","Holiday",147.951753
"126",14335,"Adelaide","South Australia","Holiday",150.9474509
"127",14426,"Adelaide","South Australia","Holiday",157.6999575
"128",14518,"Adelaide","South Australia","Holiday",167.0237365
"129",14610,"Adelaide","South Australia","Holiday",190.0186267
"130",14700,"Adelaide","South Australia","Holiday",134.4421162
"131",14791,"Adelaide","South Australia","Holiday",108.0330401
"132",14883,"Adelaide","South Australia","Holiday",159.5471503
"133",14975,"Adelaide","South Australia","Holiday",169.8550653
"134",15065,"Adelaide","South Australia","Holiday",174.7726763
"135",15156,"Adelaide","South Australia","Holiday",109.4812806
"136",15248,"Adelaide","South Australia","Holiday",165.597184
"137",15340,"Adelaide","South Australia","Holiday",169.7142825
"138",15431,"Adelaide","South Australia","Holiday",124.6560046
"139",15522,"Adelaide","South Australia","Holiday",148.6707777
"140",15614,"Adelaide","South Australia","Holiday",153.7400777
"141",15706,"Adelaide","South Australia","Holiday",171.0331777
"142",15796,"Adelaide","South Australia","Holiday",127.9855815
"143",15887,"Adelaide","South Australia","Holiday",130.9978837
"144",15979,"Adelaide","South Australia","Holiday",118.0241892
"145",16071,"Adelaide","South Australia","Holiday",206.9500696
"146",16161,"Adelaide","South Australia","Holiday",171.4180099
"147",16252,"Adelaide","South Australia","Holiday",157.9348363
"148",16344,"Adelaide","South Australia","Holiday",142.6895176
"149",16436,"Adelaide","South Australia","Holiday",211.8851375
"150",16526,"Adelaide","South Australia","Holiday",121.5809453
"151",16617,"Adelaide","South Australia","Holiday",140.6013453
"152",16709,"Adelaide","South Australia","Holiday",188.6698396
"153",16801,"Adelaide","South Australia","Holiday",199.0522891
"154",16892,"Adelaide","South Australia","Holiday",177.1418065
"155",16983,"Adelaide","South Australia","Holiday",154.1169205
"156",17075,"Adelaide","South Australia","Holiday",147.1019643
"157",17167,"Adelaide","South Australia","Holiday",215.9403437
"158",17257,"Adelaide","South Australia","Holiday",201.7341108
"159",17348,"Adelaide","South Australia","Holiday",163.711896
"160",17440,"Adelaide","South Australia","Holiday",214.0530556
"161",10227,"Adelaide","South Australia","Other",58.3626891
"162",10317,"Adelaide","South Australia","Other",39.4687353
"163",10408,"Adelaide","South Australia","Other",38.431629
"164",10500,"Adelaide","South Australia","Other",33.7915233
"165",10592,"Adelaide","South Australia","Other",25.9018459
"166",10682,"Adelaide","South Australia","Other",54.5493233
"167",10773,"Adelaide","South Australia","Other",28.7145367
"168",10865,"Adelaide","South Australia","Other",44.903216
"169",10957,"Adelaide","South Australia","Other",56.4463277
"170",11048,"Adelaide","South Australia","Other",80.9540403
"171",11139,"Adelaide","South Australia","Other",40.340643
"172",11231,"Adelaide","South Australia","Other",47.349627
"173",11323,"Adelaide","South Australia","Other",36.8334712
"174",11413,"Adelaide","South Australia","Other",65.0079823
"175",11504,"Adelaide","South Australia","Other",54.7317678
"176",11596,"Adelaide","South Australia","Other",56.2549271
"177",11688,"Adelaide","South Australia","Other",41.5928159
"178",11778,"Adelaide","South Australia","Other",36.6562369
"179",11869,"Adelaide","South Australia","Other",50.8411344
"180",11961,"Adelaide","South Australia","Other",43.8577248
"181",12053,"Adelaide","South Australia","Other",40.1157815
"182",12143,"Adelaide","South Australia","Other",64.3621483
"183",12234,"Adelaide","South Australia","Other",44.4441751
"184",12326,"Adelaide","South Australia","Other",43.3242303
"185",12418,"Adelaide","South Australia","Other",42.3108254
"186",12509,"Adelaide","South Australia","Other",56.0269055
"187",12600,"Adelaide","South Australia","Other",59.2224325
"188",12692,"Adelaide","South Australia","Other",57.6255736
"189",12784,"Adelaide","South Australia","Other",49.7870409
"190",12874,"Adelaide","South Australia","Other",49.2945724
"191",12965,"Adelaide","South Australia","Other",31.9925869
"192",13057,"Adelaide","South Australia","Other",55.8062237
"193",13149,"Adelaide","South Australia","Other",50.236464
"194",13239,"Adelaide","South Australia","Other",55.449475
"195",13330,"Adelaide","South Australia","Other",54.776388
"196",13422,"Adelaide","South Australia","Other",41.805042
"197",13514,"Adelaide","South Australia","Other",41.2923221
"198",13604,"Adelaide","South Australia","Other",49.9884623
"199",13695,"Adelaide","South Australia","Other",55.0872166
"200",13787,"Adelaide","South Australia","Other",51.7531199
"201",13879,"Adelaide","South Australia","Other",43.8686265
"202",13970,"Adelaide","South Australia","Other",37.5657883
"203",14061,"Adelaide","South Australia","Other",46.4611953
"204",14153,"Adelaide","South Australia","Other",44.106251
"205",14245,"Adelaide","South Australia","Other",52.0594965
"206",14335,"Adelaide","South Australia","Other",52.4399762
"207",14426,"Adelaide","South Australia","Other",56.0704944
"208",14518,"Adelaide","South Australia","Other",41.9836801
"209",14610,"Adelaide","South Australia","Other",43.76536
"210",14700,"Adelaide","South Australia","Other",55.7404317
"211",14791,"Adelaide","South Australia","Other",53.0696029
"212",14883,"Adelaide","South Australia","Other",55.3062409
"213",14975,"Adelaide","South Australia","Other",70.1165861
"214",15065,"Adelaide","South Australia","Other",56.6278031
"215",15156,"Adelaide","South Australia","Other",61.9101303
"216",15248,"Adelaide","South Australia","Other",57.9282548
"217",15340,"Adelaide","South Australia","Other",58.2204869
"218",15431,"Adelaide","South Australia","Other",88.1216209
"219",15522,"Adelaide","South Australia","Other",66.8339913
"220",15614,"Adelaide","South Australia","Other",42.2232428
"221",15706,"Adelaide","South Australia","Other",52.7758394
"222",15796,"Adelaide","South Australia","Other",52.4453248
"223",15887,"Adelaide","South Australia","Other",79.5717441
"224",15979,"Adelaide","South Australia","Other",101.7222527
"225",16071,"Adelaide","South Australia","Other",71.369416
"226",16161,"Adelaide","South Australia","Other",82.6371489
"227",16252,"Adelaide","South Australia","Other",46.0170661
"228",16344,"Adelaide","South Australia","Other",87.1037133
"229",16436,"Adelaide","South Australia","Other",78.0789126
"230",16526,"Adelaide","South Australia","Other",107.4946569
"231",16617,"Adelaide","South Australia","Other",51.7945351
"232",16709,"Adelaide","South Australia","Other",45.150493
"233",16801,"Adelaide","South Australia","Other",61.8101351
"234",16892,"Adelaide","South Australia","Other",80.4886879
"235",16983,"Adelaide","South Australia","Other",81.7148422
"236",17075,"Adelaide","South Australia","Other",83.5487847
"237",17167,"Adelaide","South Australia","Other",93.827099
"238",17257,"Adelaide","South Australia","Other",82.5889838
"239",17348,"Adelaide","South Australia","Other",96.0775649
"240",17440,"Adelaide","South Australia","Other",74.7483317
"241",10227,"Adelaide","South Australia","Visiting",241.5561095
"242",10317,"Adelaide","South Australia","Visiting",170.1105142
"243",10408,"Adelaide","South Australia","Visiting",232.3488833
"244",10500,"Adelaide","South Australia","Visiting",180.9617928
"245",10592,"Adelaide","South Australia","Visiting",199.711846
"246",10682,"Adelaide","South Australia","Visiting",179.5662015
"247",10773,"Adelaide","South Australia","Visiting",203.9482412
"248",10865,"Adelaide","South Australia","Visiting",214.4801446
"249",10957,"Adelaide","South Australia","Visiting",251.7557851
"250",11048,"Adelaide","South Australia","Visiting",178.6629738
"251",11139,"Adelaide","South Australia","Visiting",147.5333628
"252",11231,"Adelaide","South Australia","Visiting",213.1198656
"253",11323,"Adelaide","South Australia","Visiting",239.9944022
"254",11413,"Adelaide","South Australia","Visiting",155.6012016
"255",11504,"Adelaide","South Australia","Visiting",162.7763442
"256",11596,"Adelaide","South Australia","Visiting",256.3846773
"257",11688,"Adelaide","South Australia","Visiting",198.208282
"258",11778,"Adelaide","South Australia","Visiting",250.1651577
"259",11869,"Adelaide","South Australia","Visiting",223.3220049
"260",11961,"Adelaide","South Australia","Visiting",189.6923009
"261",12053,"Adelaide","South Australia","Visiting",230.0463821
"262",12143,"Adelaide","South Australia","Visiting",173.4722393
"263",12234,"Adelaide","South Australia","Visiting",175.135268
"264",12326,"Adelaide","South Australia","Visiting",208.7591977
"265",12418,"Adelaide","South Australia","Visiting",265.7548591
"266",12509,"Adelaide","South Australia","Visiting",213.8409703
"267",12600,"Adelaide","South Australia","Visiting",183.408378
"268",12692,"Adelaide","South Australia","Visiting",231.7860383
"269",12784,"Adelaide","South Australia","Visiting",261.8095196
"270",12874,"Adelaide","South Australia","Visiting",176.1852599
"271",12965,"Adelaide","South Australia","Visiting",165.3942311
"272",13057,"Adelaide","South Australia","Visiting",182.0362393
"273",13149,"Adelaide","South Australia","Visiting",218.827553
"274",13239,"Adelaide","South Australia","Visiting",194.114447
"275",13330,"Adelaide","South Australia","Visiting",163.068442
"276",13422,"Adelaide","South Australia","Visiting",220.230351
"277",13514,"Adelaide","South Australia","Visiting",246.2381097
"278",13604,"Adelaide","South Australia","Visiting",220.738877
"279",13695,"Adelaide","South Australia","Visiting",188.9236406
"280",13787,"Adelaide","South Australia","Visiting",223.1513123
"281",13879,"Adelaide","South Australia","Visiting",243.6220677
"282",13970,"Adelaide","South Australia","Visiting",186.8657264
"283",14061,"Adelaide","South Australia","Visiting",179.00034
"284",14153,"Adelaide","South Australia","Visiting",218.8652874
"285",14245,"Adelaide","South Australia","Visiting",193.9363459
"286",14335,"Adelaide","South Australia","Visiting",166.5628643
"287",14426,"Adelaide","South Australia","Visiting",206.980141
"288",14518,"Adelaide","South Australia","Visiting",199.9165145
"289",14610,"Adelaide","South Australia","Visiting",177.3642501
"290",14700,"Adelaide","South Australia","Visiting",190.3976189
"291",14791,"Adelaide","South Australia","Visiting",136.6111544
"292",14883,"Adelaide","South Australia","Visiting",174.7713795
"293",14975,"Adelaide","South Australia","Visiting",213.8757276
"294",15065,"Adelaide","South Australia","Visiting",185.397534
"295",15156,"Adelaide","South Australia","Visiting",145.3488
"296",15248,"Adelaide","South Australia","Visiting",206.5681484
"297",15340,"Adelaide","South Australia","Visiting",177.4265611
"298",15431,"Adelaide","South Australia","Visiting",165.9582747
"299",15522,"Adelaide","South Australia","Visiting",174.4469643
"300",15614,"Adelaide","South Australia","Visiting",236.4678649
"301",15706,"Adelaide","South Australia","Visiting",177.7299619
"302",15796,"Adelaide","South Australia","Visiting",213.4183644
"303",15887,"Adelaide","South Australia","Visiting",197.1145928
"304",15979,"Adelaide","South Australia","Visiting",180.1940008
"305",16071,"Adelaide","South Australia","Visiting",211.3142782
"306",16161,"Adelaide","South Australia","Visiting",244.4966507
"307",16252,"Adelaide","South Australia","Visiting",140.3922591
"308",16344,"Adelaide","South Australia","Visiting",261.6273403
"309",16436,"Adelaide","South Australia","Visiting",217.4926368
"310",16526,"Adelaide","South Australia","Visiting",204.5953228
"311",16617,"Adelaide","South Australia","Visiting",213.508223
"312",16709,"Adelaide","South Australia","Visiting",259.2994435
"313",16801,"Adelaide","South Australia","Visiting",252.284773
"314",16892,"Adelaide","South Australia","Visiting",219.1658594
"315",16983,"Adelaide","South Australia","Visiting",203.7540928
"316",17075,"Adelaide","South Australia","Visiting",251.2916838
"317",17167,"Adelaide","South Australia","Visiting",269.5356177
"318",17257,"Adelaide","South Australia","Visiting",218.3935756
"319",17348,"Adelaide","South Australia","Visiting",229.0500207
"320",17440,"Adelaide","South Australia","Visiting",237.6296731
"321",10227,"Adelaide Hills","South Australia","Business",0
"322",10317,"Adelaide Hills","South Australia","Business",0
"323",10408,"Adelaide Hills","South Australia","Business",7.4175726
"324",10500,"Adelaide Hills","South Australia","Business",0
"325",10592,"Adelaide Hills","South Australia","Business",0.669801
"326",10682,"Adelaide Hills","South Australia","Business",0.9485634
"327",10773,"Adelaide Hills","South Australia","Business",0
"328",10865,"Adelaide Hills","South Australia","Business",0
"329",10957,"Adelaide Hills","South Australia","Business",0
"330",11048,"Adelaide Hills","South Australia","Business",0.6234467
"331",11139,"Adelaide Hills","South Australia","Business",4.9205512
"332",11231,"Adelaide Hills","South Australia","Business",7.2571081
"333",11323,"Adelaide Hills","South Australia","Business",0
"334",11413,"Adelaide Hills","South Australia","Business",5.4055598
"335",11504,"Adelaide Hills","South Australia","Business",1.8786155
"336",11596,"Adelaide Hills","South Australia","Business",0.9916063
"337",11688,"Adelaide Hills","South Australia","Business",0
"338",11778,"Adelaide Hills","South Australia","Business",2.2811975
"339",11869,"Adelaide Hills","South Australia","Business",0
"340",11961,"Adelaide Hills","South Australia","Business",0
"341",12053,"Adelaide Hills","South Australia","Business",0
"342",12143,"Adelaide Hills","South Australia","Business",2.265113
"343",12234,"Adelaide Hills","South Australia","Business",2.4946163
"344",12326,"Adelaide Hills","South Australia","Business",0
"345",12418,"Adelaide Hills","South Australia","Business",4.1064634
"346",12509,"Adelaide Hills","South Australia","Business",6.1167046
"347",12600,"Adelaide Hills","South Australia","Business",28.6015152
"348",12692,"Adelaide Hills","South Australia","Business",5.1464077
"349",12784,"Adelaide Hills","South Australia","Business",5.9550873
"350",12874,"Adelaide Hills","South Australia","Business",6.9998942
"351",12965,"Adelaide Hills","South Australia","Business",0.7188813
"352",13057,"Adelaide Hills","South Australia","Business",0
"353",13149,"Adelaide Hills","South Australia","Business",1.322368
"354",13239,"Adelaide Hills","South Australia","Business",1.348101
"355",13330,"Adelaide Hills","South Australia","Business",0.788043
"356",13422,"Adelaide Hills","South Australia","Business",2.58543
"357",13514,"Adelaide Hills","South Australia","Business",3.4910835
"358",13604,"Adelaide Hills","South Australia","Business",1.9444892
"359",13695,"Adelaide Hills","South Australia","Business",0.9550753
"360",13787,"Adelaide Hills","South Australia","Business",7.4194128
"361",13879,"Adelaide Hills","South Australia","Business",4.5110447
"362",13970,"Adelaide Hills","South Australia","Business",5.1827222
"363",14061,"Adelaide Hills","South Australia","Business",0.7745446
"364",14153,"Adelaide Hills","South Australia","Business",0
"365",14245,"Adelaide Hills","South Australia","Business",0.4740745
"366",14335,"Adelaide Hills","South Australia","Business",1.7390433
"367",14426,"Adelaide Hills","South Australia","Business",0
"368",14518,"Adelaide Hills","South Australia","Business",7.0883161
"369",14610,"Adelaide Hills","South Australia","Business",1.2614911
"370",14700,"Adelaide Hills","South Australia","Business",1.5545561
"371",14791,"Adelaide Hills","South Australia","Business",4.411182
"372",14883,"Adelaide Hills","South Australia","Business",0.7453911
"373",14975,"Adelaide Hills","South Australia","Business",0.8340089
"374",15065,"Adelaide Hills","South Australia","Business",1.486946
"375",15156,"Adelaide Hills","South Australia","Business",8.9171885
"376",15248,"Adelaide Hills","South Australia","Business",1.3575087
"377",15340,"Adelaide Hills","South Australia","Business",0
"378",15431,"Adelaide Hills","South Australia","Business",3.0112114
"379",15522,"Adelaide Hills","South Australia","Business",0
"380",15614,"Adelaide Hills","South Australia","Business",4.7733067
"381",15706,"Adelaide Hills","South Australia","Business",1.7713181
"382",15796,"Adelaide Hills","South Australia","Business",2.6677437
"383",15887,"Adelaide Hills","South Australia","Business",0
"384",15979,"Adelaide Hills","South Australia","Business",0
"385",16071,"Adelaide Hills","South Australia","Business",0
"386",16161,"Adelaide Hills","South Australia","Business",1.2493762
"387",16252,"Adelaide Hills","South Australia","Business",0
"388",16344,"Adelaide Hills","South Australia","Business",0
"389",16436,"Adelaide Hills","South Australia","Business",0.7101666
"390",16526,"Adelaide Hills","South Australia","Business",1.8114772
"391",16617,"Adelaide Hills","South Australia","Business",16.2733027
"392",16709,"Adelaide Hills","South Australia","Business",0
"393",16801,"Adelaide Hills","South Australia","Business",14.6857262
"394",16892,"Adelaide Hills","South Australia","Business",0
"395",16983,"Adelaide Hills","South Australia","Business",3.8583368
"396",17075,"Adelaide Hills","South Australia","Business",0.1173455
"397",17167,"Adelaide Hills","South Australia","Business",0.9790461
"398",17257,"Adelaide Hills","South Australia","Business",4.303
"399",17348,"Adelaide Hills","South Australia","Business",1.9368033
"400",17440,"Adelaide Hills","South Australia","Business",0
"401",10227,"Adelaide Hills","South Australia","Holiday",6.8104523
"402",10317,"Adelaide Hills","South Australia","Holiday",13.6720871
"403",10408,"Adelaide Hills","South Australia","Holiday",12.9211976
"404",10500,"Adelaide Hills","South Australia","Holiday",18.1373877
"405",10592,"Adelaide Hills","South Australia","Holiday",10.9051648
"406",10682,"Adelaide Hills","South Australia","Holiday",16.7807442
"407",10773,"Adelaide Hills","South Australia","Holiday",6.9177303
"408",10865,"Adelaide Hills","South Australia","Holiday",9.7011935
"409",10957,"Adelaide Hills","South Australia","Holiday",15.0217047
"410",11048,"Adelaide Hills","South Australia","Holiday",15.0266245
"411",11139,"Adelaide Hills","South Australia","Holiday",35.7513371
"412",11231,"Adelaide Hills","South Australia","Holiday",6.9048294
"413",11323,"Adelaide Hills","South Australia","Holiday",0
"414",11413,"Adelaide Hills","South Australia","Holiday",8.5686541
"415",11504,"Adelaide Hills","South Australia","Holiday",6.8432419
"416",11596,"Adelaide Hills","South Australia","Holiday",2.0958331
"417",11688,"Adelaide Hills","South Australia","Holiday",10.0677382
"418",11778,"Adelaide Hills","South Australia","Holiday",13.9655569
"419",11869,"Adelaide Hills","South Australia","Holiday",8.210802
"420",11961,"Adelaide Hills","South Australia","Holiday",11.2447404
"421",12053,"Adelaide Hills","South Australia","Holiday",7.6936875
"422",12143,"Adelaide Hills","South Australia","Holiday",1.2393061
"423",12234,"Adelaide Hills","South Australia","Holiday",8.1428229
"424",12326,"Adelaide Hills","South Australia","Holiday",2.7774158
"425",12418,"Adelaide Hills","South Australia","Holiday",20.6068023
"426",12509,"Adelaide Hills","South Australia","Holiday",4.0609206
"427",12600,"Adelaide Hills","South Australia","Holiday",16.159782
"428",12692,"Adelaide Hills","South Australia","Holiday",8.492838
"429",12784,"Adelaide Hills","South Australia","Holiday",9.0009987
"430",12874,"Adelaide Hills","South Australia","Holiday",7.2371547
"431",12965,"Adelaide Hills","South Australia","Holiday",6.4905447
"432",13057,"Adelaide Hills","South Australia","Holiday",3.5300866
"433",13149,"Adelaide Hills","South Australia","Holiday",9.258452
"434",13239,"Adelaide Hills","South Australia","Holiday",6.678015
"435",13330,"Adelaide Hills","South Australia","Holiday",5.770516
"436",13422,"Adelaide Hills","South Australia","Holiday",5.642634
"437",13514,"Adelaide Hills","South Australia","Holiday",7.783172
"438",13604,"Adelaide Hills","South Australia","Holiday",5.2993434
"439",13695,"Adelaide Hills","South Australia","Holiday",4.8560908
"440",13787,"Adelaide Hills","South Australia","Holiday",12.3934947
"441",13879,"Adelaide Hills","South Australia","Holiday",4.7703495
"442",13970,"Adelaide Hills","South Australia","Holiday",8.3249579
"443",14061,"Adelaide Hills","South Australia","Holiday",8.5390942
"444",14153,"Adelaide Hills","South Australia","Holiday",7.9047397
"445",14245,"Adelaide Hills","South Australia","Holiday",6.7295009
"446",14335,"Adelaide Hills","South Australia","Holiday",3.7608167
"447",14426,"Adelaide Hills","South Australia","Holiday",6.5875964
"448",14518,"Adelaide Hills","South Australia","Holiday",11.9245373
"449",14610,"Adelaide Hills","South Australia","Holiday",2.5127822
"450",14700,"Adelaide Hills","South Australia","Holiday",5.2512939
"451",14791,"Adelaide Hills","South Australia","Holiday",6.7521319
"452",14883,"Adelaide Hills","South Australia","Holiday",13.1153901
"453",14975,"Adelaide Hills","South Australia","Holiday",6.3379975
"454",15065,"Adelaide Hills","South Australia","Holiday",8.0623412
"455",15156,"Adelaide Hills","South Australia","Holiday",5.6189895
"456",15248,"Adelaide Hills","South Australia","Holiday",16.751851
"457",15340,"Adelaide Hills","South Australia","Holiday",4.6416648
"458",15431,"Adelaide Hills","South Australia","Holiday",22.0608883
"459",15522,"Adelaide Hills","South Australia","Holiday",4.7464807
"460",15614,"Adelaide Hills","South Australia","Holiday",4.9041933
"461",15706,"Adelaide Hills","South Australia","Holiday",2.9074736
"462",15796,"Adelaide Hills","South Australia","Holiday",24.2493715
"463",15887,"Adelaide Hills","South Australia","Holiday",13.6249076
"464",15979,"Adelaide Hills","South Australia","Holiday",15.584661
"465",16071,"Adelaide Hills","South Australia","Holiday",13.4973173
"466",16161,"Adelaide Hills","South Australia","Holiday",23.9760708
"467",16252,"Adelaide Hills","South Australia","Holiday",5.7591444
"468",16344,"Adelaide Hills","South Australia","Holiday",4.361428
"469",16436,"Adelaide Hills","South Australia","Holiday",11.3356962
"470",16526,"Adelaide Hills","South Australia","Holiday",20.6098284
"471",16617,"Adelaide Hills","South Australia","Holiday",15.5468821
"472",16709,"Adelaide Hills","South Australia","Holiday",16.0923819
"473",16801,"Adelaide Hills","South Australia","Holiday",23.9436798
"474",16892,"Adelaide Hills","South Australia","Holiday",11.2939838
"475",16983,"Adelaide Hills","South Australia","Holiday",15.490573
"476",17075,"Adelaide Hills","South Australia","Holiday",14.3433173
"477",17167,"Adelaide Hills","South Australia","Holiday",12.918826
"478",17257,"Adelaide Hills","South Australia","Holiday",19.0545985
"479",17348,"Adelaide Hills","South Australia","Holiday",17.7025595
"480",17440,"Adelaide Hills","South Australia","Holiday",13.1306931
"481",10227,"Adelaide Hills","South Australia","Other",0
"482",10317,"Adelaide Hills","South Australia","Other",4.6416225
"483",10408,"Adelaide Hills","South Australia","Other",2.5551154
"484",10500,"Adelaide Hills","South Australia","Other",0.7742269
"485",10592,"Adelaide Hills","South Australia","Other",0
"486",10682,"Adelaide Hills","South Australia","Other",0
"487",10773,"Adelaide Hills","South Australia","Other",0
